id,URL,headline,author,date
1,https://www.theverge.com/2023/3/29/23661484/lamborghini-revuelto-plug-in-hybrid-aventador,Lamborghini’s first plug-in hypercar is the Aventador-replacing Revuelto,Andrew J. Hawkins,2023-03-29
2,https://www.theverge.com/23658631/kitchen-cooking-coffee-gadgets-favorite-tech,The Verge’s 13 favorite kitchen tools,Verge Staff,2023-03-29
3,https://www.theverge.com/23660625/gmail-inbox-unsubscribe-refresh-delete-reject,We need Eternal Sunshine of the Spotless Mind for Gmail,Allison Johnson,2023-03-29
4,https://www.theverge.com/2023/3/29/23660375/journaling-app-day-one-security-personal-space,"My impossible search for the best, most powerful, most private journaling app ever",David Pierce,2023-03-29
5,https://www.theverge.com/23660621/sony-alpha-zve1-mirrorless-camera-announcement-specs-price-video-review,Sony’s new ZV-E1 camera is designed to help your vlogs suck less,Antonio G. Di Benedetto,2023-03-29
6,https://www.theverge.com/2023/3/29/23661374/elon-musk-ai-researchers-pause-research-open-letter,Elon Musk and top AI researchers call for pause on ‘giant AI experiments’,James Vincent,2023-03-29
7,https://www.theverge.com/2023/3/29/23661597/becca-3-cinevlog,Becca <3 CineVlog.,Becca Farsace,2023-03-29
8,https://www.theverge.com/23661537/asteroid-city-trailer-wes-anderson,Asteroid City’s first trailer is the most Wes Anderson thing you’ll see today,Charles Pulliam-Moore,2023-03-29
9,https://www.theverge.com/2023/3/29/23661623/eyecandy-is-a-such-a-cool-site,Eyecandy is a such a cool site.,Nilay Patel,2023-03-29
10,https://www.theverge.com/2023/3/29/23661463/quality-never-goes-out-of-style-but-tact-might,Quality never goes out of style. But tact might.,Jess Weatherbed,2023-03-29
11,https://www.theverge.com/2023/3/27/23658385/levis-ai-generated-clothing-model-diversity-denim,Levi’s will test AI-generated clothing models to ‘increase diversity’,Jess Weatherbed,2023-03-27
12,https://www.theverge.com/2023/3/29/23661377/insta360-flow-smartphone-gimbal-selfie-stick-tripod-stabilization-tracking,The Insta360 Flow is a phone gimbal with all the trimmings,Jon Porter,2023-03-29
13,https://www.theverge.com/23660400/oura-ring-covid-19-illness-detection-biometrics-heart-rate-sleep,Oura study shows covid-19 can impact your biometrics for weeks after infection,Victoria Song,2023-03-29
14,https://www.theverge.com/2023/3/28/23659191/amazon-sidewalk-network-coverage,Amazon just opened up its Sidewalk network for anyone to build connected gadgets on,Jennifer Pattison Tuohy,2023-03-28
15,https://www.theverge.com/2023/3/28/23659868/amazon-returns-warning-product-reviews-tag-feature,Amazon starts flagging ‘frequently returned’ products that you maybe shouldn’t buy,Jess Weatherbed,2023-03-28
16,https://www.theverge.com/2023/3/28/23660059/tears-of-the-kingdom-open-world-potential-nintendo-switch,"Tears of the Kingdom is going to ruin our lives, and I’m here for it",Ash Parrish,2023-03-28
17,https://www.theverge.com/2023/3/28/23660291/twitter-replies-update-confusing,Tweet replies no longer show who users are replying to,Jay Peters,2023-03-28
18,https://www.theverge.com/2023/3/28/23660202/starbucks-notification-test1-seank,You’re not the only one who just got a Starbucks test notification,Mitchell Clark,2023-03-28
19,https://www.theverge.com/23658648/mastodon-ceo-twitter-interview-elon-musk-twitter,Can Mastodon seize the moment from Twitter?,Nilay Patel,2023-03-28
20,https://www.theverge.com/2023/3/29/23661494/we-want-to-explore-more-of-the-potential-that-this-gameplay-has,“We want to explore more of the potential that this gameplay has.”,Andrew Webster,2023-03-29
21,https://www.theverge.com/2023/3/28/23658228/zelda-tears-of-the-kingdom-gameplay-trailer-nintendo-switch,Here’s 10 minutes of The Legend of Zelda: Tears of the Kingdom gameplay,Ash Parrish,2023-03-28
22,https://www.theverge.com/2017/3/11/14881076/the-legend-of-zelda-breath-of-the-wild-nintendo-interview,A chat with the directors of The Legend of Zelda: Breath of the Wild,Andrew Webster,2017-03-11
23,https://www.theverge.com/2023/3/29/23661452/uk-rejects-idea-of-dedicated-ai-regulator,UK rejects idea of dedicated AI regulator.,James Vincent,2023-03-29
24,https://www.theverge.com/2023/3/29/23661431/wikipedia-wikimedia-sound-logo,Prepare your ears for Wikipedia’s ‘sound of all human knowledge’,Jon Porter,2023-03-29
25,https://www.theverge.com/2023/3/29/23661352/last-of-us-part-i-pc-launch-bugs-issues,The Last of Us on PC is a rare disappointing PlayStation port at launch,Tom Warren,2023-03-29
26,https://www.theverge.com/2023/3/29/23661436/ai-generated-video-is-still-in-its-demonic-phase,AI-generated video is still in its “demonic phase.”,James Vincent,2023-03-29
27,https://www.theverge.com/2023/3/28/23659492/fortnite-creator-economy-2-0-epic-games-catch,Fortnite’s generous new creator economy has an Epic catch,Jay Peters,2023-03-28
28,https://www.theverge.com/2023/3/28/23660101/ai-competition-ftc-doj-lina-khan-jonathan-kanter-antitrust-summit,The US government is gearing up for an AI antitrust fight,Adi Robertson,2023-03-28
29,https://www.theverge.com/2023/3/27/23658863/arc-browser-iphone-ios-companion-app-mac,"Arc is coming to iPhone, but it won’t replace Safari yet, says CEO",Mitchell Clark,2023-03-27
30,https://www.theverge.com/2023/3/29/23661380/mark-hamill-ukrainian-air-raid-alerts-star-wars-voiceover,Mark Hamill voices air raid warnings in Ukraine as Luke Skywalker,Jess Weatherbed,2023-03-29
31,https://www.theverge.com/2023/3/29/23660577/google-search-heat-alerts,Google plans to share heat alerts in search,Justine Calma,2023-03-29
