id,URL,headline,author,date
1,https://www.theverge.com/2023/3/30/23660652/asus-rog-flow-z13-acronym-gaming-laptop-tablet-review,"Y’all, this laptop is too much",Monica Chin,2023-03-31
2,https://www.theverge.com/2023/3/31/23663214/best-ways-to-play-tetris-2023,The best ways to play Tetris in 2023,Andrew Webster,2023-03-31
3,https://www.theverge.com/23664519/ai-industry-pause-open-letter-societal-harms,Why the AI industry could stand to slow down a little,Casey Newton,2023-03-31
4,https://www.theverge.com/2023/3/31/23663707/kirby-interview-gdc-2023-kirby-and-the-forgotten-land-nintendo,The shape of Kirby,Ash Parrish,2023-03-31
5,https://www.theverge.com/2023/3/31/23655322/fitbit-charge-3-button-of-the-month,Fitbit’s attempt to disappear the button proved why they matter,Victoria Song,2023-03-31
6,https://www.theverge.com/2023/3/31/23664426/google-bard-ai-chatbot-upgrades-coming-soon-sundar-pichai,Google CEO Sundar Pichai promises Bard AI chatbot upgrades soon: ‘We clearly have more capable models’,James Vincent,2023-03-31
7,https://www.theverge.com/2023/3/31/23664872/happy-25th-birthday-mozilla,"Happy 25th birthday, Mozilla!",T.C. Sottek,2023-03-31
8,https://www.theverge.com/2023/3/31/23664719/free-porn,FREE PORN.,Jess Weatherbed,2023-03-31
9,https://www.theverge.com/2023/3/31/23664595/amazon-boys-come-first-aaron-foley-chuck-hayward,Amazon to adapt Aaron Foley’s Boys Come First as a new series,Charles Pulliam-Moore,2023-03-31
10,https://www.theverge.com/2023/3/31/23664763/today-on-the-vergecast-when-you-see-the-swaggy-pope-its-all-over,"Today on The Vergecast: When you see the swaggy Pope, it’s all over.",David Pierce,2023-03-31
11,https://www.theverge.com/2023/3/27/23657927/ai-pope-image-fake-midjourney-computer-generated-aesthetic,The swagged-out pope is an AI fake — and an early glimpse of a new reality,James Vincent,2023-03-27
12,https://www.theverge.com/2023/3/31/23664636/federal-ev-tax-credit-vehicles-qualify-eligible-battery-china,"Fewer EVs will qualify for the federal $7,500 tax credit under updated rules",Andrew J. Hawkins,2023-03-31
13,https://www.theverge.com/2023/3/31/23664113/toys-hasbro-ceo-chris-cocks-magic-dungeons-and-dragons-transformers-business,"The surprisingly complex business of toys, with Hasbro CEO Chris Cocks",Nilay Patel,2023-03-31
14,https://www.theverge.com/2023/3/30/23662940/deepfake-viral-ai-misinformation-midjourney-stops-free-trials,AI image generator Midjourney stops free trials but says influx of new users to blame,James Vincent,2023-03-30
15,https://www.theverge.com/2023/3/30/23662130/arc-mobile-browser-hands-on-ios,Arc’s mobile browser is here — and it’s not really a web browser at all,David Pierce,2023-03-30
16,https://www.theverge.com/2023/3/30/23660456/e3-2023-canceled,E3 2023 has been canceled,"Jay Peters, Ash Parrish",2023-03-30
17,https://www.theverge.com/2023/3/28/23659191/amazon-sidewalk-network-coverage,Amazon just opened up its Sidewalk network for anyone to build connected gadgets on,Jennifer Pattison Tuohy,2023-03-28
18,https://www.theverge.com/2023/3/31/23663053/google-pixel-6-pro-playstation-store-spring-sale-belkin-3-in-1-charger-ray-ban-stories-deal,Google’s last-gen Pixel 6 Pro is half off right now at Woot,Sheena Vasani,2023-03-31
19,https://www.theverge.com/2023/3/31/23664584/news-outlets-respond-to-twitter-blue-coercion-with-a-resounding-meh,News outlets respond to Twitter Blue coercion with a resounding ‘meh.’,Jess Weatherbed,2023-03-31
20,https://www.theverge.com/2023/3/23/23654206/twitter-legacy-blue-verified-checkmarks-april-fools-day,Twitter claims ‘legacy’ blue checkmarks will start to disappear on April Fools’ Day,"Jay Peters, Mitchell Clark",2023-03-23
21,https://www.theverge.com/23200304/ios-16-beta-install-apple-how-to,How to install the latest iOS 16 and iPadOS 16 public betas,"Umar Shakir, Cameron Faulkner",2020-07-09
22,https://www.theverge.com/23658631/kitchen-cooking-coffee-gadgets-favorite-tech,The Verge’s 13 favorite kitchen tools,Verge Staff,2023-03-29
23,https://www.theverge.com/2023/3/31/23664610/some-weekend-reading-for-my-fellow-camera-nerds,Some weekend reading for my fellow camera nerds.,Antonio G. Di Benedetto,2023-03-31
24,https://www.theverge.com/2023/3/21/23650286/amazon-dpreview-camera-site-shutdown-layoffs,"Amazon is shutting down DPReview, the go-to camera reviews website",Mitchell Clark,2023-03-21
25,https://www.theverge.com/2023/3/31/23664598/turbotax-still-stinks,TurboTax: still stinks.,T.C. Sottek,2023-03-31
26,https://www.theverge.com/2023/3/30/23663618/ford-f-150-lightning-price-hike-original-price,The F-150 Lightning now starts at $20K more than when it was announced,Mitchell Clark,2023-03-30
27,https://www.theverge.com/2023/3/28/23660538/google-partnership-adt-self-setup-diy-home-security,Google’s ADT partnership finally has a new home security product to show for it,Jennifer Pattison Tuohy,2023-03-28
28,https://www.theverge.com/2023/3/30/23662976/overdrive-libby-ebook-lending-library-apps-transition,The OverDrive library ebook app is shutting down on May 1st,Umar Shakir,2023-03-30
29,https://www.theverge.com/2023/3/31/23664465/who-delivers-employees-apparently,Who Delivers? Employees apparently.,Jess Weatherbed,2023-03-31
30,https://www.theverge.com/2023/3/13/23638811/california-prop-22-appeals-uber-lyft-instacart-doordash,California’s gig worker-focused Prop 22 isn’t overturned after all,Mitchell Clark,2023-03-14
31,https://www.theverge.com/2023/3/31/23664451/italy-bans-chatgpt-over-data-privacy-laws,Italian regulators order ChatGPT ban over alleged violation of data privacy laws,James Vincent,2023-03-31
32,https://www.theverge.com/2023/3/31/23664437/virgin-orbit-layoffs-cease-operations-satellite-launch,Virgin Orbit to cease all operations and lay off 85 percent of its workforce,Jess Weatherbed,2023-03-31
33,https://www.theverge.com/2023/3/31/23664383/not-the-buttons,Not the buttons!,Jon Porter,2023-03-31
34,https://www.theverge.com/2022/10/29/23429915/iphone-15-ditch-mechanical-volume-power-buttons-solid-state-haptic-feedback-apple-rumors,iPhone 15 Pro models could ditch mechanical volume and power buttons,Emma Roth,2022-10-29
35,https://www.theverge.com/2023/3/30/23664044/e3-cancelled-isnt-coming-back,E3 isn’t coming back,Jay Peters,2023-03-31
36,https://www.theverge.com/2023/3/30/23664139/even-after-twitter-dropped-sms-2fa-someone-still-tried-to-hack-my-account-via-text,"Even after Twitter dropped SMS 2FA, someone still tried to hack my account via text.",Richard Lawler,2023-03-31
37,https://www.theverge.com/23606430/how-to-secure-twitter-account-2fa-without-blue,Here’s how to secure your Twitter account without paying for Blue,Emma Roth,2023-02-20
38,https://www.theverge.com/2023/3/29/23661939/today-on-the-vergecast-its-all-hotline-all-the-time,"Today on The Vergecast, it’s all Hotline all the time.",David Pierce,2023-03-29
39,https://www.theverge.com/23658648/mastodon-ceo-twitter-interview-elon-musk-twitter,Can Mastodon seize the moment from Twitter?,Nilay Patel,2023-03-28
40,https://www.theverge.com/2023/3/24/23654906/the-vergecast-goes-to-washington,The Vergecast goes to Washington.,David Pierce,2023-03-24
41,https://www.theverge.com/2023/3/30/23663997/block-hindenburg-fraud-statement,"Block knows you have questions, and it doesn’t have good answers",Elizabeth Lopatto,2023-03-30
42,https://www.theverge.com/2023/3/30/23664026/youve-got-less-than-24-hours-to-vote-for-the-next-fan-designed-lego-sets,You’ve got less than 24 hours to vote for the next fan-designed Lego sets.,Sean Hollister,2023-03-30
43,https://www.theverge.com/2023/1/4/23539727/lego-bricklink-designer-program,"Lego will let you — yes, you — compete to design a limited-edition Lego set",Sean Hollister,2023-01-05
44,https://www.theverge.com/2023/3/30/23663989/summer-gaming-events-2023-e3-canceled-news-announcements,"Summer gaming events 2023: with E3 canceled, here’s what’s next",Jay Peters,2023-03-30
45,https://www.theverge.com/23663889/e3-summer-gaming-events-2023-game-fest-xbox-starfield-ubisoft,"E3 might be gone, but this summer still has some big gaming events to watch",Jay Peters,2023-03-30
46,https://www.theverge.com/2023/3/30/23663862/e3-2023-cancelled-esa-reedpop,"I never went to E3, but I’ll miss it anyways",Ash Parrish,2023-03-30
47,https://www.theverge.com/23656561/sonos-era-100-speaker-review-features,Sonos Era 100 review: the new default smart speaker,Chris Welch,2023-03-27
48,https://www.theverge.com/22789248/oura-ring-3-review-sleep-tracker-fitness-tracker,Oura Ring Generation 3 review: a relationship for the long term,Victoria Song,2021-11-22
49,https://www.theverge.com/2023/3/30/23663202/carbon-capture-electricity-gas-coal-power-plants-climate-change,Carbon capture will probably make electricity more expensive,Justine Calma,2023-03-30
50,https://www.theverge.com/2023/3/30/23663913/trump-indicted,"Trump, indicted.",T.C. Sottek,2023-03-30
51,https://www.theverge.com/2023/3/30/23663873/sad-about-e3-youre-not-missing-all-that-much,Sad about E3? You’re not missing all that much.,Sean Hollister,2023-03-30
52,https://www.theverge.com/2023/3/30/23663792/valheim-is-having-a-unique-housing-crisis,Valheim is having a unique housing crisis.,Alex Cranz,2023-03-30
53,https://www.theverge.com/23660400/oura-ring-covid-19-illness-detection-biometrics-heart-rate-sleep,Oura study shows covid-19 can impact your biometrics for weeks after infection,Victoria Song,2023-03-29
54,https://www.theverge.com/2023/3/28/23660005/e-fuels-internal-combustion-engine-car-european-union-2035-climate-deadline,E-fuels could keep combustion engine cars on the road in the EU past its 2035 climate deadline,Justine Calma,2023-03-28
55,https://www.theverge.com/2023/3/30/23663777/trusted-testers-have-access-to-docs-and-gmails-new-ai-tools,“Trusted testers” have access to Docs and Gmail’s new AI tools.,Mitchell Clark,2023-03-30
56,https://www.theverge.com/2023/3/14/23639273/google-ai-features-docs-gmail-slides-sheets-workspace,"Google announces AI features in Gmail, Docs, and more to rival Microsoft",James Vincent,2023-03-14
57,https://www.theverge.com/2023/3/30/23663693/netflix-basic-with-ads-supported-apple-tv,You can now use Netflix’s cheaper ads plan on your Apple TV,Jay Peters,2023-03-30
58,https://www.theverge.com/2023/3/30/23663691/theres-a-very-good-simple-reason-movies-are-so-dark-these-days,"There’s a very good, simple reason movies are so dark these days.",Charles Pulliam-Moore,2023-03-30
