id,URL,headline,author,date
1,https://www.theverge.com/2023/3/30/23662130/arc-mobile-browser-hands-on-ios,Arc’s mobile browser is here — and it’s not really a web browser at all,David Pierce,2023-03-30
2,https://www.theverge.com/2023/3/30/23662940/deepfake-viral-ai-misinformation-midjourney-stops-free-trials,"After deepfakes go viral, AI image generator Midjourney stops free trials citing ‘abuse’",James Vincent,2023-03-30
3,https://www.theverge.com/2023/3/30/23662101/ftc-openai-investigation-request-caidp-gpt-text-generation-bias,"FTC should stop OpenAI from launching new GPT models, says AI policy group",Adi Robertson,2023-03-30
4,https://www.theverge.com/2023/3/30/23656153/elon-musk-twitter-most-followed-barack-obama,Elon Musk is now the most-followed person on Twitter,Emma Roth,2023-03-30
5,https://www.theverge.com/22789248/oura-ring-3-review-sleep-tracker-fitness-tracker,Oura Ring Generation 3 review: a relationship for the long term,Victoria Song,2021-11-22
6,https://www.theverge.com/2023/3/29/23662293/fortnite-battle-royale-player-count-discover,Fortnite now shows how many people are playing Battle Royale — and every other island,Jay Peters,2023-03-29
7,https://www.theverge.com/23659022/samsung-galaxy-a54-phone-preorder-deal-sale,Where to preorder Samsung’s Galaxy A54 phone,Sheena Vasani,2023-03-30
8,https://www.theverge.com/2023/3/30/23662996/suzume-english-dub-trailer-makoto-shinkai,The English dub trailer for Makoto Shinkai’s Suzume is for closers,Charles Pulliam-Moore,2023-03-30
9,https://www.theverge.com/2023/3/30/23662000/waves-audio-engineering-plugins-subscription-creative-access-perpetual-license,Music producers revolted against an app’s subscription scheme — and won,Andrew Marino,2023-03-30
10,https://www.theverge.com/2023/3/30/23663087/waymo-retire-chrysler-pacifica-minivan-ev-robotaxi,Waymo retires its Chrysler Pacifica minivans as it switches to an all-electric robotaxi fleet,Andrew J. Hawkins,2023-03-30
11,https://www.theverge.com/2023/3/30/23663095/twitter-is-expanding-community-notes-to-debunk-fake-images,Twitter is expanding Community Notes to debunk fake images.,Jess Weatherbed,2023-03-30
12,https://www.theverge.com/2023/3/27/23657927/ai-pope-image-fake-midjourney-computer-generated-aesthetic,The swagged-out pope is an AI fake — and an early glimpse of a new reality,James Vincent,2023-03-27
13,https://www.theverge.com/2023/3/28/23659191/amazon-sidewalk-network-coverage,Amazon just opened up its Sidewalk network for anyone to build connected gadgets on,Jennifer Pattison Tuohy,2023-03-28
14,https://www.theverge.com/23658631/kitchen-cooking-coffee-gadgets-favorite-tech,The Verge’s 13 favorite kitchen tools,Verge Staff,2023-03-29
15,https://www.theverge.com/2023/3/29/23661374/elon-musk-ai-researchers-pause-research-open-letter,Elon Musk and top AI researchers call for pause on ‘giant AI experiments’,James Vincent,2023-03-29
16,https://www.theverge.com/2023/3/29/23661826/disney-fired-isaac-perlmutter-marvel,Disney just laid off the guy it bought Marvel from... but that’s probably a good thing,Emma Roth,2023-03-29
